num,name,category,
1,VIRTUAL_IN_CALL_VOICE_RECORD_DEVICE_RX,General,0x00000001
2,VIRTUAL_IN_CALL_VOICE_RECORD_DEVICE_TX,General,0x00000002
3,VIRTUAL_IN_CALL_MUSIC_DELIVER_RX,General,0x00000003
4,HANDSET_MIC,Handset,0x00000004
5,HANDSET_MIC_BROADSIDE_FLUENCEV5,Handset,0x00000005
6,HANDSET_MIC_ENDFIRE,Handset,0x00000006
7,HANDSET_SPKR,Handset,0x00000007
8,HEADSET_MIC,Headset,0x00000008
9,HEADSET_SPKR_MONO,Headset,0x00000009
10,HEADSET_SPKR_STEREO,Headset,0x0000000A
11,SPKR_PHONE_MIC,Speaker,0x0000000B
12,SPKR_PHONE_MIC_BROADSIDE_FLUENCEV5,Speaker,0x0000000C
13,SPKR_PHONE_MIC_ENDFIRE,Speaker,0x0000000D
14,SPKR_PHONE_SPKR_MONO,Speaker,0x0000000E
15,SPKR_PHONE_SPKR_STEREO,Speaker,0x0000000F
16,TTY_HEADSET_MIC,Headset,0x00000010
17,TTY_HEADSET_SPKR,Headset,0x00000011
18,HDMI_SPKR,Hdmi,0x00000012
19,SPKR_PHONE_QUAD_MIC_FLUENCE_PROV2,Speaker,0x00000013
20,BT_A2DP_SPKR,Bluetooth,0x00000014
21,BT_SCO_MIC,Bluetooth,0x00000015
22,BT_SCO_SPKR,Bluetooth,0x00000016
23,HEADSET_ANC_MIC_MONO,Headset,0x00000017
24,HEADSET_ANC_MIC_STEREO,Headset,0x00000018
25,HANDSET_ANC_MIC_MONO,Handset,0x00000019
26,HEADSET_SPKR_ANC_STEREO_FF,Headset,0x0000001A
27,HEADSET_SPKR_ANC_STEREO_FB,Headset,0x0000001B
28,HEADSET_SPKR_ANC_MONO_FF,Headset,0x0000001C
29,HEADSET_SPKR_ANC_MONO_FB,Headset,0x0000001D
30,HANDSET_SPKR_ANC_MONO_FF,Handset,0x0000001E
31,HANDSET_SPKR_ANC_MONO_FB ,Handset,0x0000001F
32,VITUAL_A2DP_RX,General,0x00000020
33,VITUAL_A2DP_TX,General,0x00000021
34,HANDSET_MIC_STEREO,Handset,0x00000022
35,SPKR_MIC_STEREO,Speaker,0x00000023
36,VCO_HANDSET_MIC,Handset,0x00000024
37,HCO_HANDSET_SPKR,Handset,0x00000025
38,BT_SCO_WB_MIC,Bluetooth,0x00000026
39,BT_SCO_WB_SPKR,Bluetooth,0x00000027
40,HANDSET_MIC_FLUENCEV5,Handset,0x00000028
41,HANDSET_MIC_ENDFIRE_FLUENCEV5,Handset,0x00000029
42,SPKR_PHONE_MIC_FLUENCEV5,Speaker,0x0000002A
43,SPKR_PHONE_MIC_ENDFIRE_FLUENCEV5,Speaker,0x0000002B
44,USB_TX,Headset,0x0000002C
45,USB_RX,Headset,0x0000002D
46,HANDSET_TRI_MIC,Speaker,0x0000002E
85,ANC_TEST_P_PATH_MIC_STEREO,Handset,0x00000055
86,ANC_TEST_S_PATH_HANDSET_SPKR_ANC_MONO,Handset,0x00000056
88,ANC_TEST_S_PATH_MIC_STEREO,Handset,0x00000058
89,ANC_TEST_E_PATH_HANDSET_SPKR_ANC_MONO,Handset,0x00000059
91,ANC_TEST_E_PATH_MIC_STEREO,Handset,0x0000005B
100,HANDSET_MIC_MONO_LISTEN_LOW_POWER,Handset,0x00000064
101,SPKR_PHONE_SPKR_MONO_RX_FB_PROT,Speaker,0x00000065
102,SPKR_PHONE_SPKR_TX_FB_PROT,Speaker,0x00000066
103,HANDSET_SPKR_AANC_MONO_FF,Handset,0x00000067
104,HANDSET_MIC_AANC,Handset,0x00000068
105,HANDSET_MIC_ENDFIRE_AANC,Handset,0x00000069
106,HANDSET_MIC_FLUENCEV5_AEC,Handset,0x0000006A
107,HANDSET_MIC_FLUENCEV5_NS,Handset,0x0000006B
108,HANDSET_MIC_FLUENCEV5_AEC_NS,Handset,0x0000006C
109,HANDSET_MIC_ENDFIRE_FLUENCEV5_AEC,Handset,0x0000006D
110,HANDSET_MIC_ENDFIRE_FLUENCEV5_NS,Handset,0x0000006E
111,HANDSET_MIC_ENDFIRE_FLUENCEV5_AEC_NS,Handset,0x0000006F
112,SPKR_PHONE_MIC_FLUENCEV5_AEC,Speaker,0x00000070
113,SPKR_PHONE_MIC_FLUENCEV5_NS,Speaker,0x00000071
114,SPKR_PHONE_MIC_FLUENCEV5_AEC_NS,Speaker,0x00000072
115,SPKR_PHONE_MIC_ENDFIRE_FLUENCEV5_AEC,Speaker,0x00000073
116,SPKR_PHONE_MIC_ENDFIRE_FLUENCEV5_NS,Speaker,0x00000074
117,SPKR_PHONE_MIC_ENDFIRE_FLUENCEV5_AEC_NS,Speaker,0x00000075
118,HANDSET_MIC_ENDFIRE_RFECNS,Handset,0x00000076
119,SPKR_PHONE_MIC_BROADSIDE_FLUENCEV5_AEC,Speaker,0x00000077
120,SPKR_PHONE_MIC_BROADSIDE_FLUENCEV5_AEC_NS,Speaker,0x00000078
121,SPKR_PHONE_MIC_BROADSIDE_FLUENCEV5_NS,Speaker,0x00000079
122,BT_SCO_MIC_NREC,Bluetooth,0x0000007A
123,BT_SCO_WB_MIC_NREC,Bluetooth,0x0000007B
124,SPKR_PHONE_SPKR_STEREO_RX_FB_PROT,Speaker,0x0000007C
125,HANDSET_QUAD_MIC_FLUENCE_PROV2,Handset,0x0000007D
126,SPKR_PHONE_QUAD_MIC_FLUENCE_PROV2_AEC,Speaker,0x0000007E
127,SPKR_PHONE_QUAD_MIC_FLUENCE_PROV2_NS,Speaker,0x0000007F
128,HANDSET_MIC_MONO_LISTEN_ULP,Handset,0x00000080
129,SPKR_PHONE_QUAD_MIC_FLUENCE_PROV2_AEC_NS,Speaker,0x00000081
130,HANDSET_MIC_MONO_LISTEN_HIGH_POWER_SW_DUTY_CYCLE,Handset,0x00000082
131,SPKR_PHONE_QUAD_MIC_FLUENCE_PROV2_VOICE_REC,Speaker,0x00000083
132,SPKR_PHONE_MIC_ENDFIRE_FLUENCEV5_VOICE_REC,Speaker,0x00000084
134,SPKR_PHONE_SPKR_STEREO_RAS,Speaker,0x00000086
136,RAS_TEST_SPKR_PHONE_SPKR_STEREO,Speaker,0x00000088
137,HANDSET_MIC_MONO_LISTEN_PREPROC,Handset,0x00000089
138,HANDSET_QUAD_MIC_LISTEN_PREPROC,Handset,0x0000008A
139,HEADSET_MIC_MONO_LISTEN_ULP,Headset,0x0000008B
143,HANDSET_MIC_MONO_UNPROCESSED,Handset,0x0000008F
144,HANDSET_MIC_STEREO_UNPROCESSED,Handset,0x00000090
145,HANDSET_MIC_TRI_UNPROCESSED,Handset,0x00000091
146,HANDSET_MIC_QUAD_UNPROCESSED,Handset,0x00000092
147,HEADSET_MIC_UNPROCESSED,Headset,0x00000093
150,SPKR_PHONE_SPKR_MONO_2_RX_FB_PROT,Speaker,0x00000096
151,SPKR_PHONE_SPKR_MONO_TX_FB_PROT,Speaker,0x00000097
152,SPKR_PHONE_SPKR_MONO_2_TX_FB_PROT,Speaker,0x00000098
