,,apptype,"acdb_usecase
audio_output_policy"
0x11130,69936,DEFAULT_APP_TYPE_RX_PATH,
0x11132,69938,DEFAULT_APP_TYPE_TX_PATH,
0x11130,69936,ACDB_APPTYPE_GENERAL_PLAYBACK,"deep_buffer
direct_pcm_16
compress_offload_16"
0x11131,69937,ACDB_APPTYPE_SYSTEM_SOUNDS,default
0x11132,69938,ACDB_APPTYPE_GENERAL_RECORDING,
0x11133,69939,ACDB_APPTYPE_VOICE_RECOGNITION,
0x11134,69940,ACDB_APPTYPE_COMPRESS_OFFLOAD_24BIT,"direct_pcm_24
compress_offload_24"
0x11135,69941,ACDB_APPTYPE_COMPRESSED_PASSTHROUTH,compress_passthrough
0x11136,69942,ACDB_APPTYPE_COMPRESS_OFFLOAD_36BIT,direct_pcm_32
0x11137,69943,ACDB_APPTYPE_RECORD_FLUENCE,
0x1113a,69946,APP_TYPE_VOIP_AUDIO,voip_rx
