	msm_bedais_index
1	MSM_BACKEND_DAI_PRI_I2S_RX
2	MSM_BACKEND_DAI_PRI_I2S_TX
3	MSM_BACKEND_DAI_SLIMBUS_0_RX
4	MSM_BACKEND_DAI_SLIMBUS_0_TX
5	MSM_BACKEND_DAI_HDMI_RX
6	MSM_BACKEND_DAI_INT_BT_SCO_RX
7	MSM_BACKEND_DAI_INT_BT_SCO_TX
8	MSM_BACKEND_DAI_INT_FM_RX
9	MSM_BACKEND_DAI_INT_FM_TX
10	MSM_BACKEND_DAI_AFE_PCM_RX
11	MSM_BACKEND_DAI_AFE_PCM_TX
12	MSM_BACKEND_DAI_AUXPCM_RX
13	MSM_BACKEND_DAI_AUXPCM_TX
14	MSM_BACKEND_DAI_VOICE_PLAYBACK_TX
15	MSM_BACKEND_DAI_VOICE2_PLAYBACK_TX
16	MSM_BACKEND_DAI_INCALL_RECORD_RX
17	MSM_BACKEND_DAI_INCALL_RECORD_TX
18	MSM_BACKEND_DAI_MI2S_RX
19	MSM_BACKEND_DAI_MI2S_TX
20	MSM_BACKEND_DAI_SEC_I2S_RX
21	MSM_BACKEND_DAI_SLIMBUS_1_RX
22	MSM_BACKEND_DAI_SLIMBUS_1_TX
23	MSM_BACKEND_DAI_SLIMBUS_2_RX
24	MSM_BACKEND_DAI_SLIMBUS_2_TX
25	MSM_BACKEND_DAI_SLIMBUS_3_RX
26	MSM_BACKEND_DAI_SLIMBUS_3_TX
27	MSM_BACKEND_DAI_SLIMBUS_4_RX
28	MSM_BACKEND_DAI_SLIMBUS_4_TX
29	MSM_BACKEND_DAI_SLIMBUS_5_RX
30	MSM_BACKEND_DAI_SLIMBUS_5_TX
31	MSM_BACKEND_DAI_SLIMBUS_6_RX
32	MSM_BACKEND_DAI_SLIMBUS_6_TX
33	MSM_BACKEND_DAI_SLIMBUS_7_RX
34	MSM_BACKEND_DAI_SLIMBUS_7_TX
35	MSM_BACKEND_DAI_SLIMBUS_8_RX
36	MSM_BACKEND_DAI_SLIMBUS_8_TX
37	MSM_BACKEND_DAI_EXTPROC_RX
38	MSM_BACKEND_DAI_EXTPROC_TX
39	MSM_BACKEND_DAI_EXTPROC_EC_TX
40	MSM_BACKEND_DAI_QUATERNARY_MI2S_RX
41	MSM_BACKEND_DAI_QUATERNARY_MI2S_TX
42	MSM_BACKEND_DAI_SECONDARY_MI2S_RX
43	MSM_BACKEND_DAI_SECONDARY_MI2S_TX
44	MSM_BACKEND_DAI_PRI_MI2S_RX
45	MSM_BACKEND_DAI_PRI_MI2S_TX
46	MSM_BACKEND_DAI_TERTIARY_MI2S_RX
47	MSM_BACKEND_DAI_TERTIARY_MI2S_TX
48	MSM_BACKEND_DAI_AUDIO_I2S_RX
49	MSM_BACKEND_DAI_SEC_AUXPCM_RX
50	MSM_BACKEND_DAI_SEC_AUXPCM_TX
51	MSM_BACKEND_DAI_PRI_SPDIF_RX
52	MSM_BACKEND_DAI_SECONDARY_MI2S_RX_SD1
53	MSM_BACKEND_DAI_QUINARY_MI2S_RX
54	MSM_BACKEND_DAI_QUINARY_MI2S_TX
55	MSM_BACKEND_DAI_SENARY_MI2S_TX
56	MSM_BACKEND_DAI_PRI_TDM_RX_0
57	MSM_BACKEND_DAI_PRI_TDM_TX_0
58	MSM_BACKEND_DAI_PRI_TDM_RX_1
59	MSM_BACKEND_DAI_PRI_TDM_TX_1
60	MSM_BACKEND_DAI_PRI_TDM_RX_2
61	MSM_BACKEND_DAI_PRI_TDM_TX_2
62	MSM_BACKEND_DAI_PRI_TDM_RX_3
63	MSM_BACKEND_DAI_PRI_TDM_TX_3
64	MSM_BACKEND_DAI_PRI_TDM_RX_4
65	MSM_BACKEND_DAI_PRI_TDM_TX_4
66	MSM_BACKEND_DAI_PRI_TDM_RX_5
67	MSM_BACKEND_DAI_PRI_TDM_TX_5
68	MSM_BACKEND_DAI_PRI_TDM_RX_6
